"","Genus_Species","Common Name","Genus","Species","Tribe","Subfamily","Family","n","ows"
"33","Abagrotis nefascia",NA,"Abagrotis","nefascia","Noctuini","Noctuinae","Noctuidae",1,NA
"34","Abagrotis orbis",NA,"Abagrotis","orbis","Noctuini","Noctuinae","Noctuidae",1,NA
"35","Abagrotis petalama",NA,"Abagrotis","petalama","Noctuini","Noctuinae","Noctuidae",1,NA
"36","Abagrotis placida",NA,"Abagrotis","placida","Noctuini","Noctuinae","Noctuidae",1,NA
"37","Abagrotis pulchrata",NA,"Abagrotis","pulchrata","Noctuini","Noctuinae","Noctuidae",1,NA
"38","Abagrotis reedi",NA,"Abagrotis","reedi","Noctuini","Noctuinae","Noctuidae",1,NA
"39","Abagrotis rubricundis",NA,"Abagrotis","rubricundis","Noctuini","Noctuinae","Noctuidae",1,NA
"40","Abagrotis scopeops",NA,"Abagrotis","scopeops","Noctuini","Noctuinae","Noctuidae",1,NA
"41","Abagrotis striata",NA,"Abagrotis","striata","Noctuini","Noctuinae","Noctuidae",1,NA
"42","Abagrotis trigona",NA,"Abagrotis","trigona","Noctuini","Noctuinae","Noctuidae",1,NA
"43","Abagrotis turbulenta",NA,"Abagrotis","turbulenta","Noctuini","Noctuinae","Noctuidae",1,NA
"44","Abagrotis variata",NA,"Abagrotis","variata","Noctuini","Noctuinae","Noctuidae",1,NA
"45","Abagrotis vittifrons",NA,"Abagrotis","vittifrons","Noctuini","Noctuinae","Noctuidae",1,NA
"46","Abegesta concha",NA,"Abegesta","concha","Glaphyriini","Glaphyriinae","Crambidae",1,NA
"47","Abegesta reluctalis",NA,"Abegesta","reluctalis","Glaphyriini","Glaphyriinae","Crambidae",1,NA
"48","Abegesta remellalis","White-trimmed Brown Pyralid Moth","Abegesta","remellalis","Glaphyriini","Glaphyriinae","Crambidae",1,NA
"49","Abrenthia cuprea",NA,"Abrenthia","cuprea",NA,"Glyphipteriginae","Glyphipterigidae",1,NA
"50","Abrostola microvalis","Minute Oval Abrostola Moth","Abrostola","microvalis","Abrostolini","Plusiinae","Noctuidae",1,NA
"51","Abrostola ovalis","Oval Abrostola Moth","Abrostola","ovalis","Abrostolini","Plusiinae","Noctuidae",1,NA
"52","Abrostola parvula",NA,"Abrostola","parvula","Abrostolini","Plusiinae","Noctuidae",1,NA
"53","Abrostola urentis","Spectacled Nettle Moth","Abrostola","urentis","Abrostolini","Plusiinae","Noctuidae",1,NA
"54","Acallis alticolalis",NA,"Acallis","alticolalis",NA,"Chrysauginae","Pyralidae",1,NA
"55","Acallis gripalis",NA,"Acallis","gripalis",NA,"Chrysauginae","Pyralidae",1,NA
"56","Acalyptris bicornutus",NA,"Acalyptris","bicornutus",NA,"[Nepticulinae]","Nepticulidae",1,NA
"57","Acalyptris bipinnatellus",NA,"Acalyptris","bipinnatellus",NA,"[Nepticulinae]","Nepticulidae",1,NA
"58","Acalyptris distaleus",NA,"Acalyptris","distaleus",NA,"[Nepticulinae]","Nepticulidae",1,NA
"59","Acalyptris lotella",NA,"Acalyptris","lotella",NA,"[Nepticulinae]","Nepticulidae",1,NA
"60","Acalyptris postalatratus",NA,"Acalyptris","postalatratus",NA,"[Nepticulinae]","Nepticulidae",1,NA
"61","Acalyptris punctulata",NA,"Acalyptris","punctulata",NA,"[Nepticulinae]","Nepticulidae",1,NA
"62","Acalyptris scirpi",NA,"Acalyptris","scirpi",NA,"[Nepticulinae]","Nepticulidae",1,NA
"63","Acalyptris tenuijuxtus",NA,"Acalyptris","tenuijuxtus",NA,"[Nepticulinae]","Nepticulidae",1,NA
"64","Acalyptris thoracealbella",NA,"Acalyptris","thoracealbella",NA,"[Nepticulinae]","Nepticulidae",1,NA
"65","Acanthocnemes fuscoscapulella",NA,"Acanthocnemes","fuscoscapulella",NA,"Lyonetiinae","Lyonetiidae",1,NA
"66","Acanthopteroctetes aurulenta",NA,"Acanthopteroctetes","aurulenta",NA,"[Acanthopteroctetinae]","Acanthopteroctetidae",1,NA
"67","Acanthopteroctetes bimaculata",NA,"Acanthopteroctetes","bimaculata",NA,"[Acanthopteroctetinae]","Acanthopteroctetidae",1,NA
"68","Acanthopteroctetes tripunctata",NA,"Acanthopteroctetes","tripunctata",NA,"[Acanthopteroctetinae]","Acanthopteroctetidae",1,NA
"69","Acanthopteroctetes unifascia",NA,"Acanthopteroctetes","unifascia",NA,"[Acanthopteroctetinae]","Acanthopteroctetidae",1,NA
"70","Acanthotoca graefii",NA,"Acanthotoca","graefii","Ourapterygini","Ennominae","Geometridae",1,NA
"71","Acasis viridata","Olive-and-black Carpet Moth","Acasis","viridata","Trichopterygini","Larentiinae","Geometridae",1,NA
"72","Acentria ephemerella",NA,"Acentria","ephemerella","Acentropiini","Acentropinae","Crambidae",1,NA
"73","Acerra normalis",NA,"Acerra","normalis","Orthosiini","Noctuinae","Noctuidae",1,NA
"74","Achaea ablunaris",NA,"Achaea","ablunaris","Poaphilini","Erebinae","Erebidae",1,NA
"75","Achalarus albociliatus",NA,"Achalarus","albociliatus",NA,"Eudaminae","Hesperiidae",1,NA
"76","Achalarus casica",NA,"Achalarus","casica",NA,"Eudaminae","Hesperiidae",1,NA
"77","Achalarus lyciades",NA,"Achalarus","lyciades",NA,"Eudaminae","Hesperiidae",1,NA
"78","Achalarus tehuacana",NA,"Achalarus","tehuacana",NA,"Eudaminae","Hesperiidae",1,NA
"79","Achalarus toxeus",NA,"Achalarus","toxeus",NA,"Eudaminae","Hesperiidae",1,NA
"80","Acharia extensa",NA,"Acharia","extensa",NA,"Limacodinae","Limacodidae",1,NA
"81","Acharia stimulea","Saddleback Caterpillar Moth","Acharia","stimulea",NA,"Limacodinae","Limacodidae",1,NA
"82","Achatia distincta","Distinct Quaker Moth","Achatia","distincta","Orthosiini","Noctuinae","Noctuidae",1,NA
"83","Achatodes zeae","Elder Shoot Borer Moth","Achatodes","zeae","Apameini","Noctuinae","Noctuidae",1,NA
"84","Acherdoa ferraria","Chocolate Moth","Acherdoa","ferraria","Phosphilini","Noctuinae","Noctuidae",1,NA
"85","Achlyodes pallida",NA,"Achlyodes","pallida","Achyodidini","Pyrginae","Hesperiidae",1,NA
"86","Achroia grisella","Lesser Wax Moth","Achroia","grisella","Galleriini","Galleriinae","Pyralidae",1,NA
"87","Achyra bifidalis",NA,"Achyra","bifidalis",NA,"Pyraustinae","Crambidae",1,NA
"88","Achyra occidentalis",NA,"Achyra","occidentalis",NA,"Pyraustinae","Crambidae",1,NA
"89","Achyra rantalis","Garden Webworm Moth","Achyra","rantalis",NA,"Pyraustinae","Crambidae",1,NA
"90","Acleris aenigmana",NA,"Acleris","aenigmana","Tortricini","Tortricinae","Tortricidae",1,NA
"91","Acleris albicomana","Red-edged Acleris Moth","Acleris","albicomana","Tortricini","Tortricinae","Tortricidae",1,NA
"92","Acleris albinivia",NA,"Acleris","albinivia","Tortricini","Tortricinae","Tortricidae",1,NA
"93","Acleris arcticana",NA,"Acleris","arcticana","Tortricini","Tortricinae","Tortricidae",1,NA
"94","Acleris bowmanana",NA,"Acleris","bowmanana","Tortricini","Tortricinae","Tortricidae",1,NA
"95","Acleris braunana",NA,"Acleris","braunana","Tortricini","Tortricinae","Tortricidae",1,NA
"96","Acleris britannia","Brittania Moth","Acleris","britannia","Tortricini","Tortricinae","Tortricidae",1,NA
"97","Acleris busckana",NA,"Acleris","busckana","Tortricini","Tortricinae","Tortricidae",1,NA
"98","Acleris caliginosana",NA,"Acleris","caliginosana","Tortricini","Tortricinae","Tortricidae",1,NA
"99","Acleris capizziana",NA,"Acleris","capizziana","Tortricini","Tortricinae","Tortricidae",1,NA
"100","Acleris celiana",NA,"Acleris","celiana","Tortricini","Tortricinae","Tortricidae",1,NA
"101","Acleris cervinana",NA,"Acleris","cervinana","Tortricini","Tortricinae","Tortricidae",1,NA
"102","Acleris chalybeana","Lesser Maple Leafroller Moth","Acleris","chalybeana","Tortricini","Tortricinae","Tortricidae",1,NA
"103","Acleris clarkei",NA,"Acleris","clarkei","Tortricini","Tortricinae","Tortricidae",1,NA
"104","Acleris comandrana",NA,"Acleris","comandrana","Tortricini","Tortricinae","Tortricidae",1,NA
"105","Acleris comariana","Strawberry Tortrix Moth","Acleris","comariana","Tortricini","Tortricinae","Tortricidae",1,NA
"106","Acleris cornana",NA,"Acleris","cornana","Tortricini","Tortricinae","Tortricidae",1,NA
"107","Acleris curvalana","Blueberry Leaftier Moth","Acleris","curvalana","Tortricini","Tortricinae","Tortricidae",1,NA
"108","Acleris effractana","Hook-winged Tortrix Moth","Acleris","effractana","Tortricini","Tortricinae","Tortricidae",1,NA
"109","Acleris ferrumixtana",NA,"Acleris","ferrumixtana","Tortricini","Tortricinae","Tortricidae",1,NA
"110","Acleris flavivittana","Multiform Leafroller Moth","Acleris","flavivittana","Tortricini","Tortricinae","Tortricidae",1,NA
"111","Acleris foliana",NA,"Acleris","foliana","Tortricini","Tortricinae","Tortricidae",1,NA
"112","Acleris forbesana","Forbes' Acleris Moth","Acleris","forbesana","Tortricini","Tortricinae","Tortricidae",1,NA
"113","Acleris forsskaleana","Maple Leaftier Moth","Acleris","forsskaleana","Tortricini","Tortricinae","Tortricidae",1,NA
"114","Acleris fragariana",NA,"Acleris","fragariana","Tortricini","Tortricinae","Tortricidae",1,NA
"115","Acleris fuscana","Small Aspen Leaftier Moth","Acleris","fuscana","Tortricini","Tortricinae","Tortricidae",1,NA
"116","Acleris gloveranus","Western Black-headed Budworm Moth","Acleris","gloveranus","Tortricini","Tortricinae","Tortricidae",1,NA
"117","Acleris holmiana","Golden Leafroller Moth","Acleris","holmiana","Tortricini","Tortricinae","Tortricidae",1,NA
"118","Acleris hudsoniana",NA,"Acleris","hudsoniana","Tortricini","Tortricinae","Tortricidae",1,NA
"119","Acleris implexana",NA,"Acleris","implexana","Tortricini","Tortricinae","Tortricidae",1,NA
"120","Acleris inana",NA,"Acleris","inana","Tortricini","Tortricinae","Tortricidae",1,NA
"121","Acleris incognita",NA,"Acleris","incognita","Tortricini","Tortricinae","Tortricidae",1,NA
"122","Acleris kearfottana",NA,"Acleris","kearfottana","Tortricini","Tortricinae","Tortricidae",1,NA
"123","Acleris keiferi",NA,"Acleris","keiferi","Tortricini","Tortricinae","Tortricidae",1,NA
"124","Acleris klotsi",NA,"Acleris","klotsi","Tortricini","Tortricinae","Tortricidae",1,NA
"125","Acleris maccana",NA,"Acleris","maccana","Tortricini","Tortricinae","Tortricidae",1,NA
"126","Acleris macdunnoughi",NA,"Acleris","macdunnoughi","Tortricini","Tortricinae","Tortricidae",1,NA
"127","Acleris maculidorsana","Stained-back Leafroller Moth","Acleris","maculidorsana","Tortricini","Tortricinae","Tortricidae",1,NA
"128","Acleris maximana",NA,"Acleris","maximana","Tortricini","Tortricinae","Tortricidae",1,NA
"129","Acleris minuta","Yellowheaded Fireworm Moth","Acleris","minuta","Tortricini","Tortricinae","Tortricidae",1,NA
"130","Acleris negundana","Speckled Acleris Moth","Acleris","negundana","Tortricini","Tortricinae","Tortricidae",1,NA
"131","Acleris nigrolinea",NA,"Acleris","nigrolinea","Tortricini","Tortricinae","Tortricidae",1,NA
"132","Acleris nivisellana","Snowy-shouldered Acleris Moth","Acleris","nivisellana","Tortricini","Tortricinae","Tortricidae",1,NA
"133","Acleris notana",NA,"Acleris","notana","Tortricini","Tortricinae","Tortricidae",1,NA
"134","Acleris okanagana",NA,"Acleris","okanagana","Tortricini","Tortricinae","Tortricidae",1,NA
"135","Acleris oxycoccana",NA,"Acleris","oxycoccana","Tortricini","Tortricinae","Tortricidae",1,NA
"136","Acleris paracinderella",NA,"Acleris","paracinderella","Tortricini","Tortricinae","Tortricidae",1,NA
"137","Acleris placidana","Black-headed Birch Leaffolder Moth","Acleris","placidana","Tortricini","Tortricinae","Tortricidae",1,NA
"138","Acleris ptychogrammos",NA,"Acleris","ptychogrammos","Tortricini","Tortricinae","Tortricidae",1,NA
"139","Acleris pulverosana",NA,"Acleris","pulverosana","Tortricini","Tortricinae","Tortricidae",1,NA
"140","Acleris rhombana","Rhomboid Tortrix Moth","Acleris","rhombana","Tortricini","Tortricinae","Tortricidae",1,NA
"141","Acleris robinsoniana","Robinson's Acleris Moth","Acleris","robinsoniana","Tortricini","Tortricinae","Tortricidae",1,NA
"142","Acleris santacrucis",NA,"Acleris","santacrucis","Tortricini","Tortricinae","Tortricidae",1,NA
"143","Acleris scabrana","Gray Rough-wing Moth","Acleris","scabrana","Tortricini","Tortricinae","Tortricidae",1,NA
"144","Acleris semiannula",NA,"Acleris","semiannula","Tortricini","Tortricinae","Tortricidae",1,NA
"145","Acleris semipurpurana","Oak Leaftier Moth","Acleris","semipurpurana","Tortricini","Tortricinae","Tortricidae",1,NA
"146","Acleris senescens",NA,"Acleris","senescens","Tortricini","Tortricinae","Tortricidae",1,NA
"147","Acleris simpliciana",NA,"Acleris","simpliciana","Tortricini","Tortricinae","Tortricidae",1,NA
"148","Acleris stadiana",NA,"Acleris","stadiana","Tortricini","Tortricinae","Tortricidae",1,NA
"149","Acleris subnivana",NA,"Acleris","subnivana","Tortricini","Tortricinae","Tortricidae",1,NA
"150","Acleris variana","Eastern Black-headed Budworm Moth","Acleris","variana","Tortricini","Tortricinae","Tortricidae",1,NA
"151","Acleris variegana","Garden Rose Tortrix Moth","Acleris","variegana","Tortricini","Tortricinae","Tortricidae",1,NA
"152","Acleris viburnana",NA,"Acleris","viburnana","Tortricini","Tortricinae","Tortricidae",1,NA
"153","Acleris youngana",NA,"Acleris","youngana","Tortricini","Tortricinae","Tortricidae",1,NA
"154","Aclytia heber",NA,"Aclytia","heber","Arctiini","Arctiinae","Erebidae",1,NA
"155","Acoloithus falsarius","Clemens' False Skeletonizer Moth","Acoloithus","falsarius","Procridini","Procridinae","Zygaenidae",1,NA
"156","Acoloithus novaricus",NA,"Acoloithus","novaricus","Procridini","Procridinae","Zygaenidae",1,NA
"157","Acoloithus rectarius","Upright Acoloithus Moth","Acoloithus","rectarius","Procridini","Procridinae","Zygaenidae",1,NA
"158","Acontia behrii",NA,"Acontia","behrii","Acontiini","Acontiinae","Noctuidae",1,NA
"159","Acontia chea",NA,"Acontia","chea","Acontiini","Acontiinae","Noctuidae",1,NA
"160","Acontia coquillettii",NA,"Acontia","coquillettii","Acontiini","Acontiinae","Noctuidae",1,NA
"161","Acontia cretata","Chalky Bird-dropping Moth","Acontia","cretata","Acontiini","Acontiinae","Noctuidae",1,NA
"162","Acontia jaliscana",NA,"Acontia","jaliscana","Acontiini","Acontiinae","Noctuidae",1,NA
"163","Acopa carina",NA,"Acopa","carina",NA,"Bryophilinae","Noctuidae",1,NA
"164","Acopa perpallida",NA,"Acopa","perpallida",NA,"Bryophilinae","Noctuidae",1,NA
"165","Acossus centerensis","Poplar Carpenterworm Moth","Acossus","centerensis",NA,"Cossinae","Cossidae",1,NA
"166","Acossus populi","Aspen Carpenterworm Moth","Acossus","populi",NA,"Cossinae","Cossidae",1,NA
"167","Acossus undosus",NA,"Acossus","undosus",NA,"Cossinae","Cossidae",1,NA
"168","Acrapex relicta",NA,"Acrapex","relicta","Apameini","Noctuinae","Noctuidae",1,NA
"169","Acratodes suavata",NA,"Acratodes","suavata","Scopulini","Sterrhinae","Geometridae",1,NA
"170","Acritogramma metaleuca",NA,"Acritogramma","metaleuca","Omopterini","Erebinae","Erebidae",1,NA
"171","Acritogramma noctar",NA,"Acritogramma","noctar","Omopterini","Erebinae","Erebidae",1,NA
"172","Acrobasis amplexella",NA,"Acrobasis","amplexella","Phycitini","Phycitinae","Pyralidae",1,NA
"173","Acrobasis angusella","Hickory Leafstem Borer Moth","Acrobasis","angusella","Phycitini","Phycitinae","Pyralidae",1,NA
"174","Acrobasis aurorella",NA,"Acrobasis","aurorella","Phycitini","Phycitinae","Pyralidae",1,NA
"175","Acrobasis betulella","Birch Tubemaker Moth","Acrobasis","betulella","Phycitini","Phycitinae","Pyralidae",1,NA
"176","Acrobasis betulivorella",NA,"Acrobasis","betulivorella","Phycitini","Phycitinae","Pyralidae",1,NA
"177","Acrobasis blanchardorum",NA,"Acrobasis","blanchardorum","Phycitini","Phycitinae","Pyralidae",1,NA
"178","Acrobasis caliginella",NA,"Acrobasis","caliginella","Phycitini","Phycitinae","Pyralidae",1,NA
"179","Acrobasis carpinivorella",NA,"Acrobasis","carpinivorella","Phycitini","Phycitinae","Pyralidae",1,NA
"180","Acrobasis caryae","Hickory Shoot Borer Moth","Acrobasis","caryae","Phycitini","Phycitinae","Pyralidae",1,NA
"181","Acrobasis caryalbella",NA,"Acrobasis","caryalbella","Phycitini","Phycitinae","Pyralidae",1,NA
"182","Acrobasis caryivorella","Hickory Shoot Moth","Acrobasis","caryivorella","Phycitini","Phycitinae","Pyralidae",1,NA
"183","Acrobasis caulivorella",NA,"Acrobasis","caulivorella","Phycitini","Phycitinae","Pyralidae",1,NA
"184","Acrobasis cirroferella",NA,"Acrobasis","cirroferella","Phycitini","Phycitinae","Pyralidae",1,NA
"185","Acrobasis comptella",NA,"Acrobasis","comptella","Phycitini","Phycitinae","Pyralidae",1,NA
"186","Acrobasis comptoniella","Sweetfern Leaf Casebearer Moth","Acrobasis","comptoniella","Phycitini","Phycitinae","Pyralidae",1,NA
"187","Acrobasis coryliella",NA,"Acrobasis","coryliella","Phycitini","Phycitinae","Pyralidae",1,NA
"188","Acrobasis cunulae",NA,"Acrobasis","cunulae","Phycitini","Phycitinae","Pyralidae",1,NA
"189","Acrobasis demotella","Walnut Shoot Moth","Acrobasis","demotella","Phycitini","Phycitinae","Pyralidae",1,NA
"190","Acrobasis elyi",NA,"Acrobasis","elyi","Phycitini","Phycitinae","Pyralidae",1,NA
"191","Acrobasis evanescentella",NA,"Acrobasis","evanescentella","Phycitini","Phycitinae","Pyralidae",1,NA
"192","Acrobasis exsulella","Cordovan Pyralid Moth","Acrobasis","exsulella","Phycitini","Phycitinae","Pyralidae",1,NA
"193","Acrobasis indigenella","Leaf Crumpler Moth","Acrobasis","indigenella","Phycitini","Phycitinae","Pyralidae",1,NA
"194","Acrobasis irrubriella",NA,"Acrobasis","irrubriella","Phycitini","Phycitinae","Pyralidae",1,NA
"195","Acrobasis juglandis","Pecan Leaf Casebearer Moth","Acrobasis","juglandis","Phycitini","Phycitinae","Pyralidae",1,NA
"196","Acrobasis juglanivorella",NA,"Acrobasis","juglanivorella","Phycitini","Phycitinae","Pyralidae",1,NA
"197","Acrobasis kylesi",NA,"Acrobasis","kylesi","Phycitini","Phycitinae","Pyralidae",1,NA
"198","Acrobasis latifasciella",NA,"Acrobasis","latifasciella","Phycitini","Phycitinae","Pyralidae",1,NA
"199","Acrobasis minimella",NA,"Acrobasis","minimella","Phycitini","Phycitinae","Pyralidae",1,NA
"200","Acrobasis normella",NA,"Acrobasis","normella","Phycitini","Phycitinae","Pyralidae",1,NA
"201","Acrobasis nuxvorella","Pecan Nut Casebearer Moth","Acrobasis","nuxvorella","Phycitini","Phycitinae","Pyralidae",1,NA
"202","Acrobasis ostryella",NA,"Acrobasis","ostryella","Phycitini","Phycitinae","Pyralidae",1,NA
"203","Acrobasis pallicornella",NA,"Acrobasis","pallicornella","Phycitini","Phycitinae","Pyralidae",1,NA
"204","Acrobasis palliolella","Mantled Acrobasis Moth","Acrobasis","palliolella","Phycitini","Phycitinae","Pyralidae",1,NA
"205","Acrobasis rubrifasciella","Alder Tubemaker Moth","Acrobasis","rubrifasciella","Phycitini","Phycitinae","Pyralidae",1,NA
"206","Acrobasis stigmella",NA,"Acrobasis","stigmella","Phycitini","Phycitinae","Pyralidae",1,NA
"207","Acrobasis suavella",NA,"Acrobasis","suavella","Phycitini","Phycitinae","Pyralidae",1,NA
"208","Acrobasis sylviella","Ironwood Tubemaker Moth","Acrobasis","sylviella","Phycitini","Phycitinae","Pyralidae",1,NA
"209","Acrobasis texana",NA,"Acrobasis","texana","Phycitini","Phycitinae","Pyralidae",1,NA
"210","Acrobasis tricolorella","Destructive Pruneworm Moth","Acrobasis","tricolorella","Phycitini","Phycitinae","Pyralidae",1,NA
"211","Acrobasis tumidulella",NA,"Acrobasis","tumidulella","Phycitini","Phycitinae","Pyralidae",1,NA
"212","Acrobasis vaccinii","Cranberry Fruitworm Moth","Acrobasis","vaccinii","Phycitini","Phycitinae","Pyralidae",1,NA
"213","Acrocercops affinis",NA,"Acrocercops","affinis",NA,"Acrocercopinae","Gracillariidae",1,NA
"214","Acrocercops albinatella",NA,"Acrocercops","albinatella",NA,"Acrocercopinae","Gracillariidae",1,NA
"215","Acrocercops arbutella",NA,"Acrocercops","arbutella",NA,"Acrocercopinae","Gracillariidae",1,NA
"216","Acrocercops astericola",NA,"Acrocercops","astericola",NA,"Acrocercopinae","Gracillariidae",1,NA
"217","Acrocercops insulariella",NA,"Acrocercops","insulariella",NA,"Acrocercopinae","Gracillariidae",1,NA
"218","Acrocercops pnosmodiella",NA,"Acrocercops","pnosmodiella",NA,"Acrocercopinae","Gracillariidae",1,NA
"219","Acrocercops quinquistrigella",NA,"Acrocercops","quinquistrigella",NA,"Acrocercopinae","Gracillariidae",1,NA
"220","Acrocercops rhombiferellum",NA,"Acrocercops","rhombiferellum",NA,"Acrocercopinae","Gracillariidae",1,NA
"221","Acrocercops strigosa",NA,"Acrocercops","strigosa",NA,"Acrocercopinae","Gracillariidae",1,NA
"222","Acrolepiopsis assectella",NA,"Acrolepiopsis","assectella",NA,"Acrolepiinae","Glyphipterigidae",1,NA
"223","Acrolepiopsis californica",NA,"Acrolepiopsis","californica",NA,"Acrolepiinae","Glyphipterigidae",1,NA
"224","Acrolepiopsis heppneri",NA,"Acrolepiopsis","heppneri",NA,"Acrolepiinae","Glyphipterigidae",1,NA
"225","Acrolepiopsis incertella","Carrionflower Moth","Acrolepiopsis","incertella",NA,"Acrolepiinae","Glyphipterigidae",1,NA
"226","Acrolepiopsis leucoscia",NA,"Acrolepiopsis","leucoscia",NA,"Acrolepiinae","Glyphipterigidae",1,NA
"227","Acrolepiopsis reticulosa",NA,"Acrolepiopsis","reticulosa",NA,"Acrolepiinae","Glyphipterigidae",1,NA
"228","Acrolophus acanthogona",NA,"Acrolophus","acanthogona",NA,"Acrolophinae","Tineidae",1,NA
"229","Acrolophus acornus",NA,"Acrolophus","acornus",NA,"Acrolophinae","Tineidae",1,NA
"230","Acrolophus arcanella","Grass Tubeworm Moth","Acrolophus","arcanella",NA,"Acrolophinae","Tineidae",1,NA
"231","Acrolophus arizonellus",NA,"Acrolophus","arizonellus",NA,"Acrolophinae","Tineidae",1,NA
"232","Acrolophus baldufi",NA,"Acrolophus","baldufi",NA,"Acrolophinae","Tineidae",1,NA
"233","Acrolophus bicornutus",NA,"Acrolophus","bicornutus",NA,"Acrolophinae","Tineidae",1,NA
"234","Acrolophus chiricahuae",NA,"Acrolophus","chiricahuae",NA,"Acrolophinae","Tineidae",1,NA
"235","Acrolophus cockerelli","A. cockerelli Sp. Grp.","Acrolophus","cockerelli",NA,"Acrolophinae","Tineidae",1,NA
"236","Acrolophus crescentella",NA,"Acrolophus","crescentella",NA,"Acrolophinae","Tineidae",1,NA
"237","Acrolophus cressoni","Cresson's Grass Tubeworm Moth","Acrolophus","cressoni",NA,"Acrolophinae","Tineidae",1,NA
"238","Acrolophus davisellus",NA,"Acrolophus","davisellus",NA,"Acrolophinae","Tineidae",1,NA
"239","Acrolophus dorsimaculus",NA,"Acrolophus","dorsimaculus",NA,"Acrolophinae","Tineidae",1,NA
"240","Acrolophus exaphristus",NA,"Acrolophus","exaphristus",NA,"Acrolophinae","Tineidae",1,NA
"241","Acrolophus fervidus",NA,"Acrolophus","fervidus",NA,"Acrolophinae","Tineidae",1,NA
"242","Acrolophus filicicornis",NA,"Acrolophus","filicicornis",NA,"Acrolophinae","Tineidae",1,NA
"243","Acrolophus forbesi",NA,"Acrolophus","forbesi",NA,"Acrolophinae","Tineidae",1,NA
"244","Acrolophus furcatus",NA,"Acrolophus","furcatus",NA,"Acrolophinae","Tineidae",1,NA
"245","Acrolophus griseus",NA,"Acrolophus","griseus",NA,"Acrolophinae","Tineidae",1,NA
