"Name","Region","cell","Latitude","Longitude","Year","julianweek","nSurveyBranches","nSurveys","totalCount","numSurveysGTzero","totalBiomass","meanDensity","fracSurveys","meanBiomass"
"Coweeta - BB","NC",702,35.04167,-83.475,2018,165,174,174,20,19,359.94780412,0.114942528735632,10.9195402298851,2.06866554091954
"Coweeta - BB","NC",702,35.04167,-83.475,2018,172,53,53,6,5,44.564345,0.113207547169811,9.43396226415094,0.840836698113208
"Coweeta - BB","NC",702,35.04167,-83.475,2018,179,83,83,16,14,172.50197136,0.192771084337349,16.8674698795181,2.07833700433735
"Coweeta - BB","NC",702,35.04167,-83.475,2018,186,95,95,13,11,94.69568292,0.136842105263158,11.5789473684211,0.996796662315789
"Coweeta - BS","NC",702,35.025,-83.45833,2010,144,71,71,18,16,140.7598282,0.253521126760563,22.5352112676056,1.9825327915493
"Coweeta - BS","NC",702,35.025,-83.45833,2010,158,176,176,30,25,909.2894229,0.170454545454545,14.2045454545455,5.16641717556818
"Coweeta - BS","NC",702,35.025,-83.45833,2010,165,86,86,18,15,141.24684056,0.209302325581395,17.4418604651163,1.6424051227907
"Coweeta - BS","NC",702,35.025,-83.45833,2010,172,198,198,38,34,289.22235362,0.191919191919192,17.1717171717172,1.46071895767677
"Coweeta - BS","NC",702,35.025,-83.45833,2010,179,86,86,6,5,38.7794869,0.0697674418604651,5.81395348837209,0.45092426627907
"Coweeta - BS","NC",702,35.025,-83.45833,2010,186,201,201,34,33,98.02813276,0.169154228855721,16.4179104477612,0.487702153034826
"Coweeta - BS","NC",702,35.025,-83.45833,2011,144,291,291,114,79,1017.36491582,0.391752577319588,27.1477663230241,3.49609936707904
"Coweeta - BS","NC",702,35.025,-83.45833,2011,151,196,196,34,29,571.8404926,0.173469387755102,14.7959183673469,2.91755353367347
"Coweeta - BS","NC",702,35.025,-83.45833,2011,158,430,430,34,33,841.4957977,0.0790697674418605,7.67441860465116,1.95696697139535
"Coweeta - BS","NC",702,35.025,-83.45833,2011,165,315,445,23,21,538.2260857,0.051685393258427,4.71910112359551,1.20949682179775
"Coweeta - BS","NC",702,35.025,-83.45833,2011,172,507,507,21,19,456.87423566,0.0414201183431953,3.74753451676529,0.901132614714004
"Coweeta - BS","NC",702,35.025,-83.45833,2011,179,758,758,17,16,250.9190514,0.0224274406332454,2.11081794195251,0.331027772295514
"Coweeta - BS","NC",702,35.025,-83.45833,2011,193,99,99,4,3,18.8405122,0.0404040404040404,3.03030303030303,0.190308204040404
"Coweeta - BS","NC",702,35.025,-83.45833,2012,144,454,454,36,30,547.15126592,0.079295154185022,6.6079295154185,1.20517899982379
"Coweeta - BS","NC",702,35.025,-83.45833,2012,151,306,306,22,18,289.0922,0.0718954248366013,5.88235294117647,0.944745751633987
"Coweeta - BS","NC",702,35.025,-83.45833,2012,158,350,350,27,22,394.97033254,0.0771428571428571,6.28571428571429,1.1284866644
"Coweeta - BS","NC",702,35.025,-83.45833,2012,165,366,400,19,17,470.24117686,0.0475,4.25,1.17560294215
"Coweeta - BS","NC",702,35.025,-83.45833,2012,172,590,590,19,19,284.9768344,0.0322033898305085,3.22033898305085,0.483011583728814
"Coweeta - BS","NC",702,35.025,-83.45833,2012,179,358,374,16,15,49.2980871,0.0427807486631016,4.01069518716578,0.131813067112299
"Coweeta - BS","NC",702,35.025,-83.45833,2012,186,449,449,24,22,482.7344648,0.0534521158129176,4.89977728285078,1.07513243830735
"Coweeta - BS","NC",702,35.025,-83.45833,2012,193,657,657,21,17,94.7647123,0.0319634703196347,2.58751902587519,0.144238527092846
"Coweeta - BS","NC",702,35.025,-83.45833,2013,144,102,102,8,6,31.19130906,0.0784313725490196,5.88235294117647,0.305797147647059
"Coweeta - BS","NC",702,35.025,-83.45833,2013,151,213,213,30,27,376.9224279,0.140845070422535,12.6760563380282,1.76958886338028
"Coweeta - BS","NC",702,35.025,-83.45833,2013,158,204,204,44,36,719.8540474,0.215686274509804,17.6470588235294,3.52869631078431
"Coweeta - BS","NC",702,35.025,-83.45833,2013,165,219,219,26,26,704.1273005,0.118721461187215,11.8721461187215,3.21519315296804
"Coweeta - BS","NC",702,35.025,-83.45833,2013,172,187,187,20,19,219.0706965,0.106951871657754,10.1604278074866,1.17150105080214
"Coweeta - BS","NC",702,35.025,-83.45833,2013,179,287,287,15,14,64.54313736,0.0522648083623693,4.8780487804878,0.224888980348432
"Coweeta - BS","NC",702,35.025,-83.45833,2013,186,137,137,8,8,141.3936527,0.0583941605839416,5.83941605839416,1.03207045766423
"Coweeta - BS","NC",702,35.025,-83.45833,2013,193,410,410,22,22,72.26200652,0.0536585365853659,5.36585365853659,0.176248796390244
"Coweeta - BS","NC",702,35.025,-83.45833,2014,144,308,308,90,74,800.43372834,0.292207792207792,24.025974025974,2.5988108062987
"Coweeta - BS","NC",702,35.025,-83.45833,2014,151,151,151,22,19,267.170207,0.145695364238411,12.5827814569536,1.7693391192053
"Coweeta - BS","NC",702,35.025,-83.45833,2014,158,276,276,39,35,438.4462688,0.141304347826087,12.6811594202899,1.58857343768116
"Coweeta - BS","NC",702,35.025,-83.45833,2014,165,176,186,40,37,322.54958046,0.21505376344086,19.8924731182796,1.73413752935484
"Coweeta - BS","NC",702,35.025,-83.45833,2014,172,261,261,22,22,289.4286395,0.0842911877394636,8.42911877394636,1.10892199042146
"Coweeta - BS","NC",702,35.025,-83.45833,2014,179,169,169,33,29,419.3008369,0.195266272189349,17.1597633136095,2.4810700408284
"Coweeta - BS","NC",702,35.025,-83.45833,2014,186,330,330,37,33,195.60850926,0.112121212121212,10,0.592753058363636
"Coweeta - BS","NC",702,35.025,-83.45833,2014,193,91,91,7,7,40.5098875,0.0769230769230769,7.69230769230769,0.445163598901099
"Coweeta - BS","NC",702,35.025,-83.45833,2015,144,92,92,27,21,182.77813716,0.293478260869565,22.8260869565217,1.98671888217391
"Coweeta - BS","NC",702,35.025,-83.45833,2015,151,73,73,9,6,78.0753392,0.123287671232877,8.21917808219178,1.06952519452055
"Coweeta - BS","NC",702,35.025,-83.45833,2015,158,257,257,44,35,816.1567808,0.171206225680934,13.6186770428016,3.17570731828794
"Coweeta - BS","NC",702,35.025,-83.45833,2015,165,281,311,40,38,368.2967109,0.128617363344051,12.2186495176849,1.18423379710611
"Coweeta - BS","NC",702,35.025,-83.45833,2015,172,154,154,14,11,136.5967722,0.0909090909090909,7.14285714285714,0.886992027272727
"Coweeta - BS","NC",702,35.025,-83.45833,2015,179,234,250,16,15,250.09721196,0.064,6,1.00038884784
"Coweeta - BS","NC",702,35.025,-83.45833,2015,186,132,132,9,7,41.3068605,0.0681818181818182,5.3030303030303,0.312930761363636
"Coweeta - BS","NC",702,35.025,-83.45833,2015,193,230,230,17,16,856.37931196,0.0739130434782609,6.95652173913043,3.72338831286957
"Coweeta - BS","NC",702,35.025,-83.45833,2018,144,186,186,20,18,112.73686774,0.10752688172043,9.67741935483871,0.606112192150538
"Coweeta - BS","NC",702,35.025,-83.45833,2018,151,59,59,6,6,146.8400647,0.101694915254237,10.1694915254237,2.4888146559322
"Coweeta - BS","NC",702,35.025,-83.45833,2018,158,167,167,20,17,402.81465386,0.119760479041916,10.1796407185629,2.41206379556886
"Coweeta - BS","NC",702,35.025,-83.45833,2018,165,113,120,11,9,122.0642073,0.0916666666666667,7.5,1.0172017275
"Coweeta - BS","NC",702,35.025,-83.45833,2018,172,161,161,26,21,1287.1422236,0.161490683229814,13.0434782608696,7.99467219627329
"Coweeta - BS","NC",702,35.025,-83.45833,2018,179,137,137,34,28,316.36234736,0.248175182481752,20.4379562043796,2.30921421430657
"Coweeta - BS","NC",702,35.025,-83.45833,2018,193,82,82,6,5,33.7078412,0.0731707317073171,6.09756097560976,0.411071234146341
"East Carolina University","NC",703,35.606393363404,-77.366304214415,2018,137,38,67,0,0,0,0,0,0
"East Carolina University","NC",703,35.606393363404,-77.366304214415,2018,144,38,75,0,0,0,0,0,0
"East Carolina University","NC",703,35.606393363404,-77.366304214415,2018,158,40,80,0,0,0,0,0,0
"East Carolina University","NC",703,35.606393363404,-77.366304214415,2018,165,40,79,0,0,0,0,0,0
"East Carolina University","NC",703,35.606393363404,-77.366304214415,2018,172,40,118,0,0,0,0,0,0
"East Carolina University","NC",703,35.606393363404,-77.366304214415,2018,186,40,80,0,0,0,0,0,0
"East Carolina University","NC",703,35.606393363404,-77.366304214415,2018,193,40,80,0,0,0,0,0,0
"East Carolina University","NC",703,35.606393363404,-77.366304214415,2018,200,40,81,0,0,0,0,0,0
"East Carolina University","NC",703,35.606393363404,-77.366304214415,2018,207,40,120,0,0,0,0,0,0
"Fernbank Forest","GA",729,33.77615,-84.32187,2019,137,25,25,0,0,0,0,0,0
"Fernbank Forest","GA",729,33.77615,-84.32187,2019,151,25,25,1,1,0.07743246,0.04,4,0.0030972984
"Fernbank Forest","GA",729,33.77615,-84.32187,2019,165,25,25,1,1,3.619114,0.04,4,0.14476456
"Fernbank Forest","GA",729,33.77615,-84.32187,2019,179,25,25,2,2,57.63148,0.08,8,2.3052592
"Fernbank Forest","GA",729,33.77615,-84.32187,2019,186,25,25,2,2,32.4487537,0.08,8,1.297950148
"Fernbank Forest","GA",729,33.77615,-84.32187,2019,193,25,25,1,1,70.45682,0.04,4,2.8182728
"Fernbank Forest","GA",729,33.77615,-84.32187,2019,200,25,25,2,1,85.4639114,0.08,4,3.418556456
"Fernbank Forest","GA",729,33.77615,-84.32187,2019,207,25,25,4,4,6.54294956,0.16,16,0.2617179824
"Georgetown","DC",676,38.909602349623,-77.07900566587,2018,151,29,30,0,0,0,0,0,0
"Georgetown","DC",676,38.909602349623,-77.07900566587,2018,158,27,28,1,1,0.351053653781591,0.0357142857142857,3.57142857142857,0.0125376304921997
"Georgetown","DC",676,38.909602349623,-77.07900566587,2018,165,30,30,2,2,0.532445085653055,0.0666666666666667,6.66666666666667,0.0177481695217685
"Georgetown","DC",676,38.909602349623,-77.07900566587,2018,172,29,30,7,5,39.9359237319043,0.233333333333333,16.6666666666667,1.33119745773014
"Georgetown","DC",676,38.909602349623,-77.07900566587,2018,179,30,30,2,2,22.176135159025,0.0666666666666667,6.66666666666667,0.739204505300835
"Georgetown","DC",676,38.909602349623,-77.07900566587,2018,186,29,29,1,1,0.181391431871464,0.0344827586206897,3.44827586206897,0.00625487696108497
"Georgetown","DC",676,38.909602349623,-77.07900566587,2018,193,24,25,1,1,9.06098247158031,0.04,4,0.362439298863212
"Georgetown","DC",676,38.909602349623,-77.07900566587,2018,200,30,30,8,7,50.5581620750905,0.266666666666667,23.3333333333333,1.68527206916968
"Georgetown","DC",676,38.909602349623,-77.07900566587,2018,207,30,30,9,5,12.9325351787541,0.3,16.6666666666667,0.43108450595847
"Grouped: Crossways/Camp Woods","PA",649,40.165395,-75.256155,2019,165,33,33,0,0,0,0,0,0
"Grouped: Crossways/Camp Woods","PA",649,40.165395,-75.256155,2019,172,39,41,0,0,0,0,0,0
"Grouped: Crossways/Camp Woods","PA",649,40.165395,-75.256155,2019,179,35,35,4,4,0.51764772,0.114285714285714,11.4285714285714,0.0147899348571429
"Grouped: Crossways/Camp Woods","PA",649,40.165395,-75.256155,2019,186,38,38,3,3,4.88657994,0.0789473684210526,7.89473684210526,0.128594208947368
"Grouped: Crossways/Camp Woods","PA",649,40.165395,-75.256155,2019,193,39,39,2,2,4.75929346,0.0512820512820513,5.12820512820513,0.122033165641026
"Grouped: Crossways/Camp Woods","PA",649,40.165395,-75.256155,2019,200,24,27,2,2,0.5059186,0.0740740740740741,7.40740740740741,0.0187377259259259
"Grouped: Crossways/Camp Woods","PA",649,40.165395,-75.256155,2019,207,29,31,1,1,15.54077,0.032258064516129,3.2258064516129,0.501315161290323
"Grouped: EwA","MA",595,42.42141,-71.134465,2020,144,20,30,11,6,38.0689862,0.366666666666667,20,1.26896620666667
"Grouped: EwA","MA",595,42.42141,-71.134465,2020,158,20,31,4,4,17.883055,0.129032258064516,12.9032258064516,0.576872741935484
"Grouped: EwA","MA",595,42.42141,-71.134465,2020,165,20,21,1,1,0.3510537,0.0476190476190476,4.76190476190476,0.0167168428571429
"Grouped: EwA","MA",595,42.42141,-71.134465,2020,172,20,21,1,1,3.619114,0.0476190476190476,4.76190476190476,0.172338761904762
"Grouped: EwA","MA",595,42.42141,-71.134465,2020,186,19,30,5,4,73.0310153,0.166666666666667,13.3333333333333,2.43436717666667
"Grouped: EwA","MA",595,42.42141,-71.134465,2020,193,20,20,5,4,58.154246,0.25,20,2.9077123
"Grouped: EwA","MA",595,42.42141,-71.134465,2020,200,20,31,3,3,4.94068486,0.0967741935483871,9.67741935483871,0.159376930967742
"Grouped: EwA","MA",595,42.42141,-71.134465,2020,207,19,29,3,3,1.9429171,0.103448275862069,10.3448275862069,0.0669971413793103
"Grouped: Litzsinger Road","MO",645,38.622195,-90.37321,2019,137,29,29,0,0,0,0,0,0
"Grouped: Litzsinger Road","MO",645,38.622195,-90.37321,2019,144,24,25,0,0,0,0,0,0
"Grouped: Litzsinger Road","MO",645,38.622195,-90.37321,2019,151,29,30,1,1,21.22604,0.0333333333333333,3.33333333333333,0.707534666666667
"Grouped: Litzsinger Road","MO",645,38.622195,-90.37321,2019,158,26,26,0,0,0,0,0,0
"Grouped: Litzsinger Road","MO",645,38.622195,-90.37321,2019,165,27,27,1,1,0.07743246,0.037037037037037,3.7037037037037,0.00286786888888889
"Grouped: Litzsinger Road","MO",645,38.622195,-90.37321,2019,172,30,30,0,0,0,0,0,0
"Grouped: Litzsinger Road","MO",645,38.622195,-90.37321,2019,179,28,29,3,3,73.20058754,0.103448275862069,10.3448275862069,2.52415819103448
"Grouped: Litzsinger Road","MO",645,38.622195,-90.37321,2019,186,29,30,6,6,613.558799,0.2,20,20.4519599666667
"Grouped: Litzsinger Road","MO",645,38.622195,-90.37321,2019,193,30,30,3,1,4.7652599,0.1,3.33333333333333,0.158841996666667
"Grouped: Litzsinger Road","MO",645,38.622195,-90.37321,2019,200,29,30,4,2,21.743807,0.133333333333333,6.66666666666667,0.724793566666667
"Grouped: Litzsinger Road","MO",645,38.622195,-90.37321,2019,207,29,29,2,2,8.662812,0.0689655172413793,6.89655172413793,0.298717655172414
"Grouped: Walker/Scott's Run VA","VA",676,38.9372791362273,-77.2930572221147,2019,151,20,21,1,1,4.231417,0.0476190476190476,4.76190476190476,0.201496047619048
"Grouped: Walker/Scott's Run VA","VA",676,38.9372791362273,-77.2930572221147,2019,165,20,20,0,0,0,0,0,0
"Grouped: Walker/Scott's Run VA","VA",676,38.9372791362273,-77.2930572221147,2019,172,29,31,5,5,18.722844,0.161290322580645,16.1290322580645,0.603962709677419
"Grouped: Walker/Scott's Run VA","VA",676,38.9372791362273,-77.2930572221147,2019,186,30,31,8,6,65.0146513,0.258064516129032,19.3548387096774,2.09724681612903
"Grouped: Walker/Scott's Run VA","VA",676,38.9372791362273,-77.2930572221147,2019,193,20,20,4,4,13.86674946,0.2,20,0.693337473
"Grouped: Walker/Scott's Run VA","VA",676,38.9372791362273,-77.2930572221147,2019,200,29,30,2,2,5.6319545,0.0666666666666667,6.66666666666667,0.187731816666667
"Grouped: Walker/Scott's Run VA","VA",676,38.9372791362273,-77.2930572221147,2019,207,30,30,5,4,358.79973154,0.166666666666667,13.3333333333333,11.9599910513333
"Honeybee House","NC",702,36.00812,-80.39617,2020,144,30,50,0,0,0,0,0,0
"Honeybee House","NC",702,36.00812,-80.39617,2020,151,30,90,0,0,0,0,0,0
"Honeybee House","NC",702,36.00812,-80.39617,2020,165,30,89,0,0,0,0,0,0
"Honeybee House","NC",702,36.00812,-80.39617,2020,172,30,60,0,0,0,0,0,0
"Honeybee House","NC",702,36.00812,-80.39617,2020,186,30,60,0,0,0,0,0,0
"Honeybee House","NC",702,36.00812,-80.39617,2020,193,30,60,0,0,0,0,0,0
"Honeybee House","NC",702,36.00812,-80.39617,2020,200,30,60,0,0,0,0,0,0
"Honeybee House","NC",702,36.00812,-80.39617,2020,207,30,59,1,1,13.12259,0.0169491525423729,1.69491525423729,0.222416779661017
"Inglewood area","SC",702,34.86449,-82.34579,2020,151,30,30,3,3,1.56533692,0.1,10,0.0521778973333333
"Inglewood area","SC",702,34.86449,-82.34579,2020,158,28,29,1,1,0.07743246,0.0344827586206897,3.44827586206897,0.00267008482758621
"Inglewood area","SC",702,34.86449,-82.34579,2020,165,28,28,0,0,0,0,0,0
"Inglewood area","SC",702,34.86449,-82.34579,2020,172,29,29,1,1,0.3510537,0.0344827586206897,3.44827586206897,0.0121053
"Inglewood area","SC",702,34.86449,-82.34579,2020,179,27,29,3,3,2.4573754,0.103448275862069,10.3448275862069,0.0847370827586207
"Inglewood area","SC",702,34.86449,-82.34579,2020,186,28,28,6,4,17.2696207,0.214285714285714,14.2857142857143,0.616772167857143
"Inglewood area","SC",702,34.86449,-82.34579,2020,193,30,30,2,2,5.0329147,0.0666666666666667,6.66666666666667,0.167763823333333
"Inglewood area","SC",702,34.86449,-82.34579,2020,200,30,30,2,2,0.9531567,0.0666666666666667,6.66666666666667,0.03177189
"Inglewood area","SC",702,34.86449,-82.34579,2020,207,30,30,2,2,57.9557035,0.0666666666666667,6.66666666666667,1.93185678333333
"Kalamazoo Nature Center","MI",591,42.3604,-85.5836,2018,144,30,30,0,0,0,0,0,0
"Kalamazoo Nature Center","MI",591,42.3604,-85.5836,2018,151,30,30,1,1,9.06098247158031,0.0333333333333333,3.33333333333333,0.302032749052677
"Kalamazoo Nature Center","MI",591,42.3604,-85.5836,2018,158,30,30,2,2,47.0126281562705,0.0666666666666667,6.66666666666667,1.56708760520902
"Kalamazoo Nature Center","MI",591,42.3604,-85.5836,2018,165,30,31,0,0,0,0,0,0
"Kalamazoo Nature Center","MI",591,42.3604,-85.5836,2018,172,30,30,2,2,493.957834019749,0.0666666666666667,6.66666666666667,16.4652611339916
"Kalamazoo Nature Center","MI",591,42.3604,-85.5836,2018,179,30,30,1,1,63.6781249231518,0.0333333333333333,3.33333333333333,2.12260416410506
"Kalamazoo Nature Center","MI",591,42.3604,-85.5836,2018,186,30,30,0,0,0,0,0,0
"Kalamazoo Nature Center","MI",591,42.3604,-85.5836,2018,193,30,30,0,0,0,0,0,0
"Kalamazoo Nature Center","MI",591,42.3604,-85.5836,2018,207,30,60,1,1,111.177933639711,0.0166666666666667,1.66666666666667,1.85296556066185
"Lillian Anderson Arboretum Fern Oak Site","MI",591,42.29329,-85.70233,2020,137,30,30,0,0,0,0,0,0
"Lillian Anderson Arboretum Fern Oak Site","MI",591,42.29329,-85.70233,2020,144,30,30,2,2,0.7021074,0.0666666666666667,6.66666666666667,0.02340358
"Lillian Anderson Arboretum Fern Oak Site","MI",591,42.29329,-85.70233,2020,151,30,30,2,2,32.19366,0.0666666666666667,6.66666666666667,1.073122
"Lillian Anderson Arboretum Fern Oak Site","MI",591,42.29329,-85.70233,2020,158,29,30,1,1,9.060982,0.0333333333333333,3.33333333333333,0.302032733333333
"Lillian Anderson Arboretum Fern Oak Site","MI",591,42.29329,-85.70233,2020,165,29,30,2,2,47.37306,0.0666666666666667,6.66666666666667,1.579102
"Lillian Anderson Arboretum Fern Oak Site","MI",591,42.29329,-85.70233,2020,172,29,30,1,1,21.22604,0.0333333333333333,3.33333333333333,0.707534666666667
"Lillian Anderson Arboretum Fern Oak Site","MI",591,42.29329,-85.70233,2020,179,29,30,0,0,0,0,0,0
"Lillian Anderson Arboretum Fern Oak Site","MI",591,42.29329,-85.70233,2020,186,29,30,1,1,10.96762,0.0333333333333333,3.33333333333333,0.365587333333333
"Lillian Anderson Arboretum Fern Oak Site","MI",591,42.29329,-85.70233,2020,193,28,30,1,1,24.52269,0.0333333333333333,3.33333333333333,0.817423
"Lillian Anderson Arboretum Fern Oak Site","MI",591,42.29329,-85.70233,2020,200,29,29,0,0,0,0,0,0
"Lillian Anderson Arboretum Fern Oak Site","MI",591,42.29329,-85.70233,2020,207,30,30,0,0,0,0,0,0
"Linda Loring Nature Foundation","MA",736,41.292,-70.17019,2019,158,30,30,2,2,2.9111314,0.0666666666666667,6.66666666666667,0.0970377133333333
"Linda Loring Nature Foundation","MA",736,41.292,-70.17019,2019,165,23,23,1,1,0.003,0.0434782608695652,4.34782608695652,0.000130434782608696
"Linda Loring Nature Foundation","MA",736,41.292,-70.17019,2019,172,27,35,0,0,0,0,0,0
"Linda Loring Nature Foundation","MA",736,41.292,-70.17019,2019,179,28,28,2,2,11.790722,0.0714285714285714,7.14285714285714,0.421097214285714
"Linda Loring Nature Foundation","MA",736,41.292,-70.17019,2019,186,30,30,0,0,0,0,0,0
"Linda Loring Nature Foundation","MA",736,41.292,-70.17019,2019,200,29,29,0,0,0,0,0,0
"Linda Loring Nature Foundation","MA",736,41.292,-70.17019,2019,207,30,30,1,1,0.602103,0.0333333333333333,3.33333333333333,0.0200701
"Mass Audubon's Boston Nature Center","MA",595,42.286,-71.09969,2019,144,30,30,2,2,3.8005054,0.0666666666666667,6.66666666666667,0.126683513333333
"Mass Audubon's Boston Nature Center","MA",595,42.286,-71.09969,2019,151,24,25,2,2,7.238228,0.08,8,0.28952912
"Mass Audubon's Boston Nature Center","MA",595,42.286,-71.09969,2019,158,25,25,1,1,9.060982,0.04,4,0.36243928
